id,age,color,latitude,longitude,date,location,specific_location,running,chasing,climbing,eating,foraging,other_activities,kuks,quaas,moans,tail_flags,tail_twitches,approaches,indifferent,runs_from
14F-AM-1007-05,Juvenile,Gray,40.776043272001700,-73.969017583853400,2018-10-07,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
6I-PM-1013-06,Adult,Gray,40.769028098595600,-73.970408282135600,2018-10-13,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
15F-PM-1010-05,Adult,Gray,40.776881164002100,-73.968491071227200,2018-10-10,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
8B-PM-1012-02,Adult,Gray,40.773523264887200,-73.976867481294200,2018-10-12,Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True
3A-PM-1017-06,Adult,Gray,40.769888524134900,-73.979708486661300,2018-10-17,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
36I-AM-1017-02,Adult,Gray,40.792313040279300,-73.952819267977000,2018-10-17,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5E-AM-1008-06,Adult,Cinnamon,40.769260262874500,-73.974563003849200,2018-10-08,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False
32E-PM-1017-13,Adult,Gray,40.790336578869400,-73.959500233950800,2018-10-17,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
5F-PM-1007-03,Adult,Gray,40.768948665796300,-73.974182499229400,2018-10-07,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
11B-PM-1014-05,Adult,Gray,40.776139355178100,-73.974924390118900,2018-10-14,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
16E-PM-1018-06,Adult,Cinnamon,40.778014344377900,-73.968381325559000,2018-10-18,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False
13F-AM-1007-02,Adult,Cinnamon,40.775589812667400,-73.969424032750900,2018-10-07,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
20B-PM-1013-10,Adult,Gray,40.782836473523600,-73.968900097895500,2018-10-13,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
3A-PM-1017-05,Adult,Gray,40.769675365598600,-73.980452886754700,2018-10-17,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
29H-PM-1006-01,Adult,Gray,40.787386251000100,-73.957624599245500,2018-10-06,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
23C-PM-1014-03,Adult,Gray,40.784509813156700,-73.966600793563800,2018-10-14,Above Ground,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
33C-PM-1007-03,Adult,Gray,40.792264552190500,-73.961484836090000,2018-10-07,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
38G-PM-1020-09,Adult,Gray,40.794763924149100,-73.954665418414600,2018-10-20,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False
16G-PM-1017-01,Adult,Gray,40.776880470247300,-73.966711402721400,2018-10-17,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
36I-PM-1007-07,Adult,Gray,40.792182245761300,-73.953003556464300,2018-10-07,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
35A-AM-1014-03,Adult,Gray,40.795127862239900,-73.961569657767300,2018-10-14,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
28C-PM-1006-01,Adult,Gray,40.788384010474900,-73.964474836001000,2018-10-06,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
32D-AM-1013-06,Adult,Cinnamon,40.791482966105100,-73.961070559286800,2018-10-13,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
22A-AM-1008-05,Adult,Gray,40.784530128816300,-73.968845448358500,2018-10-08,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True
40B-PM-1014-06,Adult,Gray,40.798095947103400,-73.957823716835900,2018-10-14,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
19C-PM-1018-01,Adult,Gray,40.780971944530900,-73.968827120240100,2018-10-18,Ground Plane,,True,True,False,True,False,,False,False,False,False,True,False,True,False
35A-PM-1013-06,Adult,Cinnamon,40.794458508236700,-73.961708874992800,2018-10-13,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
14E-AM-1008-09,Adult,Gray,40.776653057929300,-73.970182482587200,2018-10-08,Ground Plane,,True,True,False,False,False,,True,False,False,False,False,False,False,True
15G-PM-1019-05,Adult,Gray,40.776604351297400,-73.967641049748100,2018-10-19,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
10F-AM-1007-02,Adult,Gray,40.772357203023600,-73.970872605072100,2018-10-07,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
42E-PM-1012-06,Adult,Cinnamon,40.798216222376400,-73.954145346581700,2018-10-12,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True
22B-AM-1013-04,Adult,Cinnamon,40.784292740532700,-73.968360829597600,2018-10-13,Ground Plane,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True
15F-PM-1010-06,Adult,Gray,40.777338666528000,-73.968052057989000,2018-10-10,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
5A-AM-1006-05,Adult,Gray,40.771587786327400,-73.978718087073600,2018-10-06,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True
32H-PM-1006-01,,Gray,40.789565406854600,-73.956590586827600,2018-10-06,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False
42C-AM-1007-02,,,40.799246167480200,-73.956575973361100,2018-10-07,,,False,False,False,False,False,,False,True,False,False,False,False,False,False
41D-AM-1014-01,Adult,Gray,40.798738465625600,-73.955153949830600,2018-10-14,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
21G-PM-1007-01,Adult,Gray,40.781353795943500,-73.964197181396700,2018-10-07,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False
14E-AM-1008-02,Adult,Gray,40.776855370308200,-73.969288397092800,2018-10-08,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
7H-PM-1006-04,Adult,Gray,40.769958701905800,-73.970854967078800,2018-10-06,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
22F-AM-1007-01,Adult,Gray,40.782511195076400,-73.963974400564700,2018-10-07,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False
7F-AM-1008-16,Juvenile,Gray,40.771214548882800,-73.973027791142200,2018-10-08,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True
10F-PM-1019-05,Adult,Black,40.772469160571800,-73.971054140570800,2018-10-19,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False
